id,total_price,shipping_price,cart,,,,payment_method,order_datetime,delivery_datetime,,vip_flag,admin_short,fulfilled,order_source,subtotal_price,total_discounts,is_delivery,is_gift,has_custom,is_post,transport,edited,is_corporate,promo_code
5686,800,50,"{""custom"":[{""title"":""1 lb vegan pb oreo. cookie cake"",""price"":750,""quantity"":1,""id"":""e4dleqkb0v""}]}",,,,qr,2020-11-09 01:59:08.013177+00,2020-11-09 04:00:00+00,,no,unkwn,t,,,,t,f,f,f,unkwn,f,f,
6396,950,0,"{""xmas-0.75lb&chocnutella.green"":1}",,,,qr,2020-12-19 07:39:22.34455+00,2020-12-25 04:00:00+00,,no,unkwn,t,,,,f,f,f,f,unkwn,f,f,
9711,1250,300,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-02-07 14:10:17.223622+00,2021-02-13 10:00:00+00,,no,Ja,t,ig,950,,t,f,f,f,car,f,f,
9028,2130,280,"{""heart-L&ganache.pink"":1}",,,,qr,2021-02-04 02:13:01.822979+00,2021-02-13 11:00:00+00,,no,Gyan,t,line,1950,100,t,f,f,f,car,f,f,YdwKHEnmyQSY
9091,1150,200,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-02-04 13:37:00.31446+00,2021-02-13 03:00:00+00,,no,Kung,t,line,950,,t,f,f,f,car,f,f,
9975,1892,92,"{""cupc"":10,""peanut"":0,""deathchoc"":1,""valrhona"":1}",,,,qr,2021-02-11 07:09:17.263985+00,2021-02-11 10:00:00+00,,no,Kung,t,line,1800,,t,f,f,f,bike,f,f,
9921,740,140,"{""deathchoc"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""7rqi9e21bb"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":3,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":2,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",,,,qr,2021-02-10 10:59:36.222657+00,2021-02-10 12:00:00+00,,no,Kung,t,ig,600,,t,f,f,f,bike,f,f,
8577,811,161,"{""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":1,""id"":""0smphj0dwlz"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",,,,qr,2021-01-26 08:15:23.415282+00,2021-01-27 04:00:00+00,,no,Kung,t,line,650,,t,f,f,f,bike,f,f,
9562,700,0,"{""pbj"":2,""salt"":1}",,,,qr,2021-02-06 14:56:01.720739+00,2021-01-22 01:00:00+00,,no,unkwn,t,,,,f,f,f,f,,f,f,
8315,572,82,"{""heart-S&redvelvet,white.pink"":1}",,,,qr,2021-01-21 12:59:23.402128+00,2021-02-13 11:00:00+00,,no,Kung,t,line,490,,t,f,f,f,bike,f,f,
